"open","high","low","close","vwap","count","base_currency","base_issuer","base_volume","counter_currency","counter_issuer","counter_volume","open_time","close_time","start","buy_volume"
"0.00066934404","0.00066934404","0.00050000000","0.00050025013","0.00053483173","10","XRP","","10096.63365","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","5.4","2013-02-24T00:00:10Z","2013-02-26T19:34:20Z","2013-02-24T00:00:00Z",""
"0.00040000000","0.00052631579","0.00030303030","0.00052631579","0.00049369002","8","XRP","","54913","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","27.11","2013-02-27T08:17:50Z","2013-03-01T22:43:00Z","2013-02-27T00:00:00Z","NaN"
"0.00050000000","0.0016638935","0.00050000000","0.0016638935","0.0015444310","12","XRP","","68431.347484","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","105.6874964057143","2013-03-02T01:11:40Z","2013-03-04T13:36:10Z","2013-03-02T00:00:00Z","NaN"
"0.0010000001","0.0011111111","0.00074349442","0.00099009901","0.0010474311","6","XRP","","49650.959281","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","52.00595928143713","2013-03-05T13:14:00Z","2013-03-07T17:40:30Z","2013-03-05T00:00:00Z","NaN"
"0.00090909091","0.0010869565","0.00090909091","0.0010000000","0.0010003917","8","XRP","","305882.2","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","306.0019999936","2013-03-08T13:43:00Z","2013-03-10T20:09:50Z","2013-03-08T00:00:00Z","NaN"
"0.00099009901","0.0010526316","0.00040000000","0.00052631579","0.00092666276","68","XRP","","1102019.981632","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1021.200872339537","2013-03-11T11:41:40Z","2013-03-13T23:38:50Z","2013-03-11T00:00:00Z","NaN"
"0.00052631579","0.00090991811","0.00035714286","0.00090991811","0.00054066752","31","XRP","","242459.114139","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","131.0897683978422","2013-03-14T00:29:20Z","2013-03-16T21:57:40Z","2013-03-14T00:00:00Z","NaN"
"0.0010416667","0.0010604454","0.00034482759","0.0010570825","0.00067799685","51","XRP","","1747588.10162","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1184.859229340644","2013-03-17T07:51:40Z","2013-03-19T20:52:10Z","2013-03-17T00:00:00Z","NaN"
"0.00084745763","0.0014814815","0.00084745763","0.0011123471","0.0010782464","43","XRP","","190107.850158","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","204.9830989705266","2013-03-20T07:36:50Z","2013-03-22T21:38:20Z","2013-03-20T00:00:00Z","NaN"
"0.0011123471","0.0016666667","0.0010000000","0.0010266940","0.0010198510","27","XRP","","347389.502061","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","354.2855415456867","2013-03-23T01:24:40Z","2013-03-25T22:38:50Z","2013-03-23T00:00:00Z","NaN"
"0.0011111111","0.0016365809","0.00090909091","0.0011173184","0.0010308449","45","XRP","","1631365.194789","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1681.684461382687","2013-03-26T13:19:40Z","2013-03-28T23:29:20Z","2013-03-26T00:00:00Z","NaN"
"0.0010860000","0.0011111111","0.00091074681","0.00098039216","0.0010537808","31","XRP","","629108.211557","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","662.9421566172886","2013-03-29T00:18:30Z","2013-03-31T23:13:50Z","2013-03-29T00:00:00Z","NaN"
"0.0010214609","0.0011111111","0.0010000000","0.0011111111","0.0010598713","42","XRP","","587529.153206","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","622.7052606326057","2013-04-01T07:46:00Z","2013-04-03T20:38:10Z","2013-04-01T00:00:00Z","NaN"
"0.0012903226","0.0020000000","0.0010040161","0.0012468828","0.0012487398","37","XRP","","312549.351458","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","390.2928134567388","2013-04-04T07:11:20Z","2013-04-06T16:28:20Z","2013-04-04T00:00:00Z","NaN"
"0.0012468828","0.0015384615","0.0010940919","0.0012500000","0.0012496984","122","XRP","","21501010.417059","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","26869.77785434115","2013-04-07T01:39:10Z","2013-04-09T21:19:10Z","2013-04-07T00:00:00Z","NaN"
"0.0012500000","0.0019607843","0.0010010010","0.0013333333","0.0011645068","55","XRP","","1369516.956891","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1594.811817357496","2013-04-10T02:11:00Z","2013-04-12T17:55:40Z","2013-04-10T00:00:00Z","NaN"
"0.0019607843","0.0041000000","0.0013351135","0.0026367831","0.0027665135","148","XRP","","7863550.690319","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","21754.61899664221","2013-04-13T00:33:00Z","2013-04-15T22:51:30Z","2013-04-13T00:00:00Z","NaN"
"0.0035087719","0.0072992701","0.0025316456","0.0033333333","0.0040167912","216","XRP","","4437143.451911999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","17823.07871239454","2013-04-16T00:27:30Z","2013-04-18T22:58:50Z","2013-04-16T00:00:00Z","NaN"
"0.0032894737","0.0041700000","0.0024390244","0.0026881793","0.0029252323","318","XRP","","3222501.572228","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","9426.565673035779","2013-04-19T00:39:50Z","2013-04-21T23:49:00Z","2013-04-19T00:00:00Z","NaN"
"0.0026885334","0.0039840637","0.0025641026","0.0031347982","0.0030697694","369","XRP","","7129669.029879998","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","21886.43960384767","2013-04-22T00:35:10Z","2013-04-24T23:50:20Z","2013-04-22T00:00:00Z","NaN"
"0.0031347962","0.0041823505","0.0031250000","0.0039419741","0.0038330631","275","XRP","","8507431.349726003","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","32609.52159705507","2013-04-25T00:11:40Z","2013-04-27T23:32:30Z","2013-04-25T00:00:00Z","NaN"
"0.0041823330","0.0069930070","0.0027777778","0.0043478261","0.0041570004","397","XRP","","4601194.550553998","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","19127.16741278665","2013-04-28T01:15:00Z","2013-04-30T22:19:40Z","2013-04-28T00:00:00Z","NaN"
"0.0043478261","0.0089900000","0.0040160643","0.0083333333","0.0050432246","475","XRP","","3882885.549424999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","19582.26407016322","2013-05-01T00:02:20Z","2013-05-03T23:07:40Z","2013-05-01T00:00:00Z","NaN"
"0.0083333333","0.020000000","0.0074074074","0.013140432","0.013336965","841","XRP","","6467124.066663004","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","86251.8074915579","2013-05-04T00:53:00Z","2013-05-06T23:45:20Z","2013-05-04T00:00:00Z","NaN"
"0.012580199","0.015151515","0.011764706","0.013986014","0.013931107","536","XRP","","5200230.780029001","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","72444.97350233767","2013-05-07T00:04:20Z","2013-05-09T22:38:20Z","2013-05-07T00:00:00Z","NaN"
"0.014302059","0.014492754","0.0067567568","0.011363636","0.011051450","912","XRP","","5747327.793855","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","63516.30572489824","2013-05-10T01:53:40Z","2013-05-12T23:46:10Z","2013-05-10T00:00:00Z","NaN"
"0.011363636","0.014907571","0.010256410","0.012738854","0.012654411","1469","XRP","","2898525.074018999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","36679.12850023605","2013-05-13T00:02:20Z","2013-05-15T23:39:30Z","2013-05-13T00:00:00Z","NaN"
"0.014084467","0.020000000","0.011764706","0.018639329","0.016607755","2017","XRP","","6500276.244502001","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","107954.9956449965","2013-05-16T00:26:30Z","2013-05-18T23:54:50Z","2013-05-16T00:00:00Z","NaN"
"0.016952026","0.019995065","0.016393443","0.017921147","0.017981088","1184","XRP","","3154494.480836","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","56721.24393007629","2013-05-19T00:05:50Z","2013-05-21T23:59:20Z","2013-05-19T00:00:00Z","NaN"
"0.017964287","0.019995000","0.013360053","0.015151515","0.015979645","1024","XRP","","7184746.037867004","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","114809.6920408441","2013-05-22T00:05:40Z","2013-05-24T23:25:30Z","2013-05-22T00:00:00Z","NaN"
