Date,Open,High,Low,Close,Adj Close,Volume
2017-12-08,83.629997,84.580002,83.330002,84.160004,84.160004,24489100
2017-12-11,84.290001,85.370003,84.120003,85.230003,85.230003,22857900
2017-12-12,85.309998,86.050003,85.080002,85.580002,85.580002,23924100
2017-12-13,85.739998,86.000000,85.169998,85.349998,85.349998,22062700
2017-12-14,85.430000,85.870003,84.529999,84.690002,84.690002,19306000
2017-12-15,85.260002,87.089996,84.879997,86.849998,86.849998,53936700
2017-12-18,87.120003,87.500000,86.230003,86.379997,86.379997,22283800
2017-12-19,86.349998,86.349998,85.269997,85.830002,85.830002,23524800
2017-12-20,86.199997,86.300003,84.709999,85.519997,85.519997,23674900
2017-12-21,86.050003,86.099998,85.400002,85.500000,85.500000,17990700
2017-12-22,85.400002,85.629997,84.919998,85.510002,85.510002,14145800
2017-12-26,85.309998,85.529999,85.029999,85.400002,85.400002,9891200
2017-12-27,85.650002,85.980003,85.220001,85.709999,85.709999,14678000
2017-12-28,85.900002,85.930000,85.550003,85.720001,85.720001,10594300
2017-12-29,85.629997,86.050003,85.500000,85.540001,85.540001,18717400
2018-01-02,86.129997,86.309998,85.500000,85.949997,85.949997,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,86.349998,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,87.110001,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,88.190002,22696400
